,port_rets,port_vols,weights,sharpe_ratio
4251,6.51,9.78,[19.12715256 31.42083951 17.47080147  4.37862894 27.60257752],0.67
4252,6.74,11.17,[26.95728618 22.92393246 26.34803639  9.5096847  14.26106026],0.6
4253,6.99,12.81,[12.41418937 60.39358795  8.37110848 11.23352354  7.58759066],0.55
4254,7.96,16.39,[ 0.81257265 29.24547541 28.65100362 32.76573167  8.52521665],0.49
4255,7.65,14.7,[ 1.41253974 29.26526288 28.27166004 21.99549267 19.05504468],0.52
4256,6.88,11.8,[22.74141725 25.94583078 17.52613059 23.92760327  9.85901812],0.58
4257,6.63,10.07,[12.88745581 31.95726653 19.72521679  1.56939291 33.86066796],0.66
4258,6.17,8.18,[22.87672704 16.49788184  0.08727647 31.88645262 28.65166203],0.75
4259,6.87,10.84,[11.55999725  7.63267308 37.63148433  0.13392232 43.04192301],0.63
4260,6.51,9.7,[ 9.8864847  40.40626372  2.92503872 15.46263348 31.31957939],0.67
4261,7.24,12.59,[ 7.49795202 14.83137474 35.00444578 10.35199438 32.31423308],0.58
4262,5.73,6.28,[36.21514033  8.66980549 13.95641132  6.41548724 34.74315562],0.91
4263,6.3,9.55,[31.54633086 32.91304386  3.7037427  23.37200616  8.46487641],0.66
4264,6.82,10.65,[ 2.96925201 29.97465917  4.9791972  27.71168445 34.36520717],0.64
4265,5.37,4.96,[41.74414848  9.01622732  9.67834377  2.55480045 37.00647999],1.08
4266,7.08,12.13,[ 9.31541051 29.31137141 30.86503287  1.08038576 29.42779944],0.58
4267,7.04,11.67,[ 0.49298301 33.42428729 10.54848053 23.39812217 32.136127  ],0.6
4268,7.1,12.82,[28.42038517  5.4009393  37.93736561 18.31065217  9.93065775],0.55
4269,6.63,10.27,[22.30737031 21.10318082 22.25579444 10.40332505 23.93032937],0.64
4270,7.9,15.93,[ 6.53043895  8.62522894 44.08411598 24.63534803 16.1248681 ],0.5
4271,6.35,9.0,[29.8650397   0.22653168 31.66443083  5.10205751 33.14194028],0.71
4272,5.53,5.74,[42.78456643  2.45740146  0.26979224 28.36827098 26.11996889],0.96
4273,6.21,8.74,[36.07963191 15.25921324 16.34857761 15.54825244 16.7643248 ],0.71
4274,7.09,12.16,[15.6900841   9.30118025 27.21125257 25.24544231 22.55204077],0.58
4275,6.99,11.96,[21.75738792  7.78692968 25.72772329 28.14298226 16.58497686],0.58
4276,7.18,13.06,[19.16749306 22.26179819 24.01743537 25.64973818  8.9035352 ],0.55
4277,7.19,13.13,[22.59947431 13.06372661 29.85366253 25.655846    8.82729056],0.55
4278,6.55,9.96,[22.26188985 25.52261796 21.84909046  4.8384829  25.52791883],0.66
4279,6.66,10.79,[20.39268969 36.55558984 11.55748036 15.88667385 15.60756626],0.62
4280,7.81,15.54,[ 0.39575358 31.51181205 39.17924204  9.0121398  19.90105253],0.5
4281,7.35,13.15,[ 2.77213025 28.5358451  29.87622284  9.64483593 29.17096587],0.56
4282,6.22,7.17,[ 3.03082721 10.1319697   8.74844076 14.47702194 63.61174039],0.87
4283,7.02,11.86,[10.56580565 22.76060464 15.74745486 27.99896542 22.92716942],0.59
4284,6.37,9.12,[27.43320103 16.29505778 23.68719049  4.77423387 27.81031683],0.7
4285,6.79,11.32,[29.49396904  9.93913191 30.34445781 15.94392871 14.27851254],0.6
4286,7.82,16.12,[ 7.86088389 37.78858648 39.11817448  8.5656461   6.66670905],0.49
4287,6.67,10.38,[14.62370987 31.09508869 11.82547164 16.72551831 25.73021149],0.64
4288,6.66,10.4,[24.79013929  9.18332047 20.46614254 24.58187591 20.97852178],0.64
4289,6.79,10.4,[11.1635317  11.63689866 20.96813123 19.76488563 36.46655278],0.65
4290,7.7,15.76,[12.74144152 36.81067994 34.40090251 14.87195642  1.1750196 ],0.49
4291,7.01,11.3,[ 1.4581523  13.77739464  7.92752254 41.61412951 35.22280101],0.62
4292,6.48,9.6,[22.15081687 17.49645904  7.77562516 30.12802374 22.44907519],0.67
4293,6.78,11.06,[18.42206633 27.78279093 15.69028827 19.30778089 18.79707357],0.61
4294,6.79,10.74,[ 3.5290611  35.22959821  1.8196409  28.11815247 31.30354732],0.63
4295,7.46,13.55,[ 2.48585029 17.37769339 25.80748874 28.17720122 26.15176635],0.55
4296,7.5,14.65,[ 2.56099346 48.75954635 10.06241004 30.95052587  7.66652428],0.51
4297,7.52,13.51,[ 0.50230399  3.57079838 32.46562092 29.19148462 34.2697921 ],0.56
4298,7.55,14.07,[ 0.35133369 27.26482592 33.22764004 11.71591717 27.44028318],0.54
4299,6.99,11.32,[ 3.1027587  25.19367196 14.40245856 23.08731775 34.21379303],0.62
4300,7.67,15.32,[12.74677233 24.00583665 37.8817175  17.75628804  7.60938549],0.5
4301,5.56,5.01,[22.90375085  7.89680978  7.09505401  4.52741005 57.57697532],1.11
4302,6.85,11.28,[21.80661035 13.64666543 22.88040882 22.8759993  18.7903161 ],0.61
4303,6.99,12.38,[20.27563506 27.00541358 11.5846239  35.15827531  5.97605215],0.56
4304,6.61,10.03,"[1.04526114e+01 3.83124206e+01 1.64115429e+01 2.20704257e-02
 3.48013546e+01]",0.66
4305,7.32,13.67,[ 5.66252153 48.03056248 21.67579586  8.45679118 16.17432894],0.54
4306,7.35,14.07,[25.87247464  7.90953995 39.34437266 22.35288274  4.52073001],0.52
4307,7.0,11.97,[17.35731628 19.3888161  20.19394331 26.13735254 16.92257177],0.58
4308,7.49,13.83,[ 8.46456374  7.95822509 39.59712289 17.91269493 26.06739335],0.54
4309,7.16,13.35,[ 6.85645189 52.01524607  0.46218884 33.18457562  7.48153758],0.54
4310,6.94,12.11,[25.04393482 23.67696325 23.17792656 19.98783864  8.11333672],0.57
4311,5.68,6.17,[37.8190541   7.13671216  5.63495532 19.70507634 29.70420208],0.92
4312,6.97,12.39,[20.58194155 30.1416266   8.44038651 36.97224593  3.86379941],0.56
4313,6.28,8.66,[20.00288158 29.16653649  9.53919308 10.34778574 30.94360311],0.73
4314,6.58,9.57,[16.28921696  2.75262673 12.22024357 34.89327393 33.84463882],0.69
4315,6.11,7.81,[25.12143087 21.01115686 15.39675865  3.34906116 35.12159247],0.78
4316,6.35,9.47,[29.2142844  31.85198422 15.11287965  6.78391053 17.03694119],0.67
4317,7.2,12.83,[10.16188601 28.37091658 20.5962015  22.59347721 18.27751871],0.56
4318,5.66,5.98,[35.88431233  0.21935127  2.56943736 27.76036118 33.56653787],0.95
4319,6.11,7.77,[28.81156624  9.522505   17.35111373 10.72975844 33.58505658],0.79
4320,6.06,8.27,[28.46173654 37.40627815  2.00758471 12.02795862 20.09644198],0.73
4321,6.63,10.91,[26.60428285 30.52115249  8.40058264 27.55712152  6.9168605 ],0.61
4322,5.82,6.58,[33.12066911  7.96397613  8.86974122 16.65657768 33.38903586],0.88
4323,6.77,11.22,[21.17364431 30.19560221 13.84603031 21.4132275  13.37149567],0.6
4324,6.56,9.66,[18.29011405 13.01245888 12.39162101 27.15076435 29.15504172],0.68
4325,6.62,10.37,[24.45475063 19.71015873 19.07006983 17.46068861 19.3043322 ],0.64
4326,6.15,7.48,[14.51888863  8.793817    0.87805523 30.94534053 44.86389861],0.82
4327,7.32,13.23,[ 5.31121994 30.70482791 25.1812681  15.77936477 23.02331928],0.55
4328,5.94,7.67,[44.41200735  3.50165359 21.98219385 10.11040478 19.99374043],0.77
4329,6.87,11.27,[16.85439476 21.92509837 31.38504713  1.72945851 28.10600123],0.61
4330,6.06,7.67,[26.02734101 15.40419387  1.88495812 27.22318361 29.46032339],0.79
4331,7.27,12.92,[10.56104833 15.57954115 30.58170195 19.3176508  23.96005777],0.56
4332,6.77,10.81,[19.57612065 16.25157245 27.49473109  9.95922913 26.71834668],0.63
4333,6.37,9.06,"[2.99493431e+01 2.66578641e-02 2.25899568e+01 2.01169498e+01
 2.73170924e+01]",0.7
4334,6.71,9.9,[ 0.69745725 25.56513885  4.23981221 27.06904179 42.4285499 ],0.68
4335,6.35,8.9,[27.45828011  6.43213048 22.64876404 13.267136   30.19368936],0.71
4336,7.1,12.71,[22.96480685 16.11533368 36.30531002 10.27109162 14.34345783],0.56
4337,5.88,8.31,[45.30279441 39.20682625  1.30574907 13.96570534  0.21892492],0.71
4338,8.18,17.51,[ 0.72374627 29.68790534 35.21560748 30.19279874  4.17994217],0.47
4339,7.67,15.22,[ 3.3814951  42.83362271 29.12079697 12.48870233 12.1753829 ],0.5
4340,6.81,10.38,[12.03583286  1.02020044 24.77439338 22.83055069 39.33902263],0.66
4341,6.72,9.9,[ 8.82890388  1.70570443 12.96310438 35.84858633 40.65370098],0.68
4342,6.71,10.33,[11.97353598 28.19751075 22.16512986  2.99812999 34.66569342],0.65
4343,7.73,15.32,[11.10499245 10.1906974  34.0471388  35.06535407  9.59181728],0.5
4344,6.95,11.97,[19.5855067  22.13956808 14.62921884 32.19069088 11.45501551],0.58
4345,6.24,8.28,[23.2073536  15.16502182 22.06952537  1.33182536 38.22627385],0.75
4346,7.38,13.59,[10.8720852  19.05251272 33.0479655  17.28887177 19.73856482],0.54
4347,6.88,11.34,[19.35315862 16.09191127 24.11367427 19.04551689 21.39573895],0.61
4348,6.87,10.96,[ 4.94102391 29.20873755  7.62429882 27.07477207 31.15116765],0.63
4349,6.74,10.87,[23.04422818 20.3380046  24.61437529 11.76904989 20.23434204],0.62
4350,7.55,14.4,[ 5.13943076 27.40940266 24.84252899 27.15820273 15.45043486],0.52
4351,7.96,16.35,[ 1.73721609 27.38595395 30.47802944 31.55164002  8.8471605 ],0.49
4352,7.47,14.46,[17.14274073 19.23567645 26.94242455 33.1237461   3.55541217],0.52
4353,6.86,11.51,[24.01354415 18.35631309 26.69372435 15.00407422 15.9323442 ],0.6
4354,6.95,11.29,[ 9.99026453 11.17994076 12.33664541 38.73065578 27.76249352],0.62
4355,7.42,14.07,[12.69303444 26.69196011 26.19188984 24.60325589  9.81985972],0.53
4356,6.88,11.71,[26.0047588  17.21165101 26.7369503  17.58410047 12.46253942],0.59
4357,7.25,13.31,[22.48321222  1.15388001 30.27362522 36.04717429 10.04210827],0.54
4358,4.92,4.2,[69.50749643  7.26328095  2.68651482 12.30733924  8.23536856],1.17
4359,6.25,8.81,[33.31096468 14.34908469 17.64953692 14.45905454 20.23135916],0.71
4360,6.76,10.85,[22.96413925  0.8326235  15.04088473 42.03601193 19.12634059],0.62
4361,7.29,13.06,[ 8.77983292 19.72508145 20.97436358 30.87500531 19.64571673],0.56
4362,6.82,11.15,[25.64004897  1.29053813 33.48669027 16.49459612 23.08812651],0.61
4363,7.37,12.98,[ 0.61379051 11.66834471 18.73324939 39.2012666  29.78334878],0.57
4364,6.81,11.13,[23.56655525 10.85931094 26.77080125 18.56221686 20.2411157 ],0.61
4365,7.85,15.92,[ 4.83767011 27.80947115 31.9797951  26.48169967  8.89136397],0.49
4366,6.26,9.03,[26.22797836 31.84542375  1.9016659  22.42407812 17.60085387],0.69
4367,6.48,10.41,[44.01998987  1.91699363 25.08984743 26.18191301  2.79125605],0.62
4368,5.88,7.19,[32.99094342 21.73917555  3.24405727 17.43912494 24.58669882],0.82
4369,7.06,12.36,[17.13349673 21.85015514 18.12573351 29.63350135 13.25711328],0.57
4370,6.64,10.9,[36.93437504  5.36222072 34.24370655 11.67566269 11.78403501],0.61
4371,6.39,9.37,[15.65444493 43.10564021 10.61662891  0.11655047 30.50673547],0.68
4372,5.73,6.06,[28.13889036 12.72403421  2.93044943 16.46553983 39.74108617],0.95
4373,6.75,11.29,[25.50692468 19.87032428  8.89625114 38.40152336  7.32497654],0.6
4374,7.55,14.27,[11.2726817   1.51818572 33.6373234  35.73433218 17.83747699],0.53
4375,6.77,11.42,[28.57551285 25.17063152 24.8116385  11.92240958  9.51980754],0.59
4376,6.64,11.0,[39.08667469  2.22225003 39.38897914  6.97614913 12.32594701],0.6
4377,6.45,9.12,[15.54170712 25.41579211 17.13072162  5.03466235 36.8771168 ],0.71
4378,6.31,8.55,[24.65105361  7.34783071 22.73099955  9.33393245 35.93618368],0.74
4379,7.49,14.04,[13.22086331  0.13072726 30.95426925 39.58323557 16.11090461],0.53
4380,6.12,7.41,[21.69247176  2.14205931 17.64772776 12.62541445 45.89232672],0.83
4381,7.34,13.42,[ 8.29040592 24.30959418 21.30152094 28.87195207 17.22652689],0.55
4382,6.1,7.77,[28.26547188  9.19990581  9.65266031 22.47098946 30.41097255],0.79
4383,6.33,9.47,[29.28429216 29.66156957  4.50480755 24.25377845 12.29555227],0.67
4384,7.38,13.44,[ 5.79333873 25.84445673 27.0858177  18.68802159 22.58836526],0.55
4385,5.99,7.54,[29.02605993 25.70108946 13.84731719  0.03661996 31.38891346],0.79
4386,6.3,9.19,[29.8592023  14.97215408  1.84282923 38.68523311 14.64058128],0.69
4387,7.26,13.14,[ 8.21255868 32.91485116 21.6129343  18.93002397 18.32963189],0.55
4388,6.95,11.9,[22.10910359 16.15652163 22.32678271 25.89393566 13.51365642],0.58
4389,7.52,14.3,[ 7.72752684 28.30293149 37.02551036  7.53556477 19.40846654],0.53
4390,6.43,9.75,[36.38356732  6.26812586 24.20421711 18.34377073 14.80031898],0.66
4391,6.79,11.07,[23.24228312 14.3347647  20.28847035 24.905976   17.22850583],0.61
4392,6.67,10.5,[23.92855174 15.05389026 21.7769187  18.25144555 20.98919376],0.64
4393,6.73,10.66,[23.61514722  6.49948035 23.40551466 24.01504769 22.46481008],0.63
4394,6.35,9.2,[23.00913067 28.82501805  7.64115351 17.7404068  22.78429097],0.69
4395,7.37,12.75,[ 0.47386389  5.24651292 33.5966448  20.78678657 39.89619181],0.58
4396,7.45,14.08,[14.53165685 16.73327351 38.88028923 14.19237787 15.66240255],0.53
4397,6.69,10.82,[27.73846267 14.11306352 34.70502089  1.57572103 21.8677319 ],0.62
4398,6.46,8.65,[10.39241814  4.61646424 11.58879309 26.99352358 46.40880095],0.75
4399,5.82,7.63,[42.53503325 34.47487484  9.66193288  0.87642244 12.45173659],0.76
4400,6.1,7.98,[29.47203811  9.6326216   2.39373715 33.98416994 24.51743321],0.76
4401,7.01,12.55,[27.67492568 19.86864096 37.28494896  4.95258451 10.21889989],0.56
4402,6.69,10.48,[20.57061699 19.01284953 21.63512307 14.410431   24.37097941],0.64
4403,7.2,12.82,[12.46911845 23.88947879 28.44233349 15.03828883 20.16078045],0.56
4404,5.75,6.39,[34.62397437  8.23261023  5.09731682 20.74607958 31.300019  ],0.9
4405,6.67,11.28,[37.75060857 18.83354805 26.78889259 14.64274966  1.98420114],0.59
4406,5.95,6.99,[26.76540865  2.65619395  2.7549826  31.68748739 36.13592742],0.85
4407,5.55,5.3,[28.92959737 13.04472945  1.49876178 12.19162394 44.33528746],1.05
4408,6.8,11.22,[21.48548675 22.89857165 16.95297386 23.26440509 15.39856265],0.61
4409,6.32,8.72,[18.05304472 25.11852606  4.74356083 21.05912506 31.02574332],0.72
4410,6.92,11.39,[16.87728668 13.1135975  29.52426941 13.26323024 27.22161617],0.61
4411,6.67,10.52,[23.04628758 19.69000263 20.40692612 16.30689586 20.5498878 ],0.63
4412,6.54,9.67,[11.95566672 34.02795558 12.0780413   8.19634051 33.74199589],0.68
4413,7.78,15.65,[ 8.91386613 21.2616975  32.91058998 29.45060931  7.46323708],0.5
4414,8.06,17.06,[ 3.17845364 32.81718015 34.7941577  25.39327798  3.81693052],0.47
4415,7.33,13.31,[14.84599009  1.86585642 32.26748229 31.45867597 19.56199522],0.55
4416,6.38,9.87,[32.2894554  32.30910536 11.48028701 15.08712524  8.83402699],0.65
4417,6.04,8.52,[43.01888333 22.02591115  5.6401132  24.68096465  4.63412767],0.71
4418,7.26,12.74,[ 9.43973324 11.19785666 29.04268613 23.98298454 26.33673943],0.57
4419,7.67,15.34,[13.477007   16.06606857 25.38732499 43.39804236  1.67155707],0.5
4420,7.36,13.27,[ 5.34129444 19.91210775 19.54454088 33.74804678 21.45401016],0.55
4421,6.16,8.55,[27.05826684 28.7554609   0.97110815 23.21130605 20.00385807],0.72
4422,7.28,13.63,[16.3993854  24.95128791 17.00637028 37.05195517  4.59100123],0.53
4423,6.65,10.1,[ 0.80874807 47.18239834  7.86420058  3.33064824 40.81400478],0.66
4424,6.75,10.11,[ 6.76052806 16.99955373 12.58773729 24.92714514 38.72503578],0.67
4425,5.93,7.35,[37.64782281 11.11251329 12.95671976 14.33354526 23.94939888],0.81
4426,7.03,10.97,[ 1.16032894  2.33455493 29.13980024 17.56932785 49.79598805],0.64
4427,6.27,8.9,[30.82691229 18.88650717 10.47503213 21.46336814 18.34818027],0.7
4428,7.94,15.91,[ 2.95682433  5.46758218 39.48105398 33.71475855 18.37978096],0.5
4429,5.99,7.28,[27.46560193  3.46029133  0.84925744 35.79931782 32.42553147],0.82
4430,6.76,11.18,[25.92914673 21.94820201 25.84539226 11.06715613 15.21010286],0.6
4431,7.17,13.57,[26.34917439 31.64597079 33.93312531  6.79896921  1.2727603 ],0.53
4432,6.56,9.82,[16.55006939 25.485464    8.90922304 22.35522529 26.70001828],0.67
4433,6.63,9.49,[10.76388232  8.48314146 20.15148169 17.12048677 43.48100776],0.7
4434,6.56,9.81,[20.56656185 19.27267738 23.64294584  6.23352871 30.28428622],0.67
4435,6.56,10.61,[35.408394   18.04600998 17.80093528 23.91651652  4.82814422],0.62
4436,5.37,5.18,[40.55166565 21.44021793  1.22812801  5.92136242 30.85862598],1.04
4437,7.72,15.41,[10.56321182 22.73870182 40.38276174 15.33685248 10.97847213],0.5
4438,6.72,10.09,[ 7.56472319 23.03566125 15.04217596 16.12735394 38.23008565],0.67
4439,7.12,12.94,[27.97429682  5.66992696 41.28801021 13.55463025 11.51313576],0.55
4440,6.77,11.06,[23.62461959 20.60508421 28.00089612  7.73353477 20.0358653 ],0.61
4441,7.56,14.58,[15.13904923  5.56854082 45.53893032 16.73776133 17.0157183 ],0.52
4442,7.02,12.71,[27.98469143 24.96439209 27.40028446 17.01677975  2.63385228],0.55
4443,7.61,14.95,[11.08284126 19.73218234 22.76397596 41.21297977  5.20802068],0.51
4444,7.19,12.3,[ 7.85537711 11.80452266 37.37230912  7.187235   35.78055612],0.58
4445,6.53,9.16,[14.11305633  9.75073551 20.95380968 13.01552787 42.1668706 ],0.71
4446,6.74,11.44,[32.70030712 21.74182866 27.26045206 11.84955586  6.4478563 ],0.59
4447,6.38,9.31,[31.42170881 11.082258   20.9155957  15.52619893 21.05423856],0.69
4448,6.99,12.37,[25.8117439  20.43857711 24.3423973  22.94519298  6.46208871],0.56
4449,7.72,15.56,[16.96290609  7.63777615 42.48206381 26.80331009  6.11394387],0.5
4450,6.71,10.28,[10.38510375 30.02003331 18.64026664  6.19440345 34.76019286],0.65
4451,7.18,12.69,[14.83143967 11.48601622 22.63408087 33.742699   17.30576424],0.57
4452,6.62,10.01,[15.13122045 22.14663053  8.80203309 26.49978151 27.42033442],0.66
4453,6.01,7.96,[39.76302598 12.46355233  7.48124323 25.8883291  14.40384936],0.75
4454,7.11,12.87,[24.99714678 17.11523236 33.38481404 15.35992097  9.14288585],0.55
4455,6.41,9.43,[26.10769027 22.0539938  12.914981   18.18485655 20.73847837],0.68
4456,6.95,11.49,[15.16489363 14.8659474  28.11584335 14.39909021 27.45422542],0.61
4457,7.26,13.0,[13.59753068 10.23671693 26.8990178  30.38464604 18.88208854],0.56
4458,6.81,11.25,[27.20703484  3.5679193  21.91899848 33.19506961 14.11097778],0.6
4459,6.23,8.59,[29.21226887 15.35004374 10.15800706 22.52872616 22.75095417],0.73
4460,6.56,10.15,[28.47292645 16.8847261  23.37001637 12.3881171  18.88421399],0.65
4461,7.33,12.92,[ 2.50847852 19.22422465 22.42853025 27.37701605 28.46175054],0.57
4462,7.71,15.32,[ 4.5558681  30.50365131 21.83991273 34.98119842  8.11936944],0.5
4463,6.77,11.4,[25.80848366 29.45732286 27.33174089  3.58249937 13.81995321],0.59
4464,7.07,12.7,[27.46624113  8.97683254 26.38861389 31.98331897  5.18499348],0.56
4465,6.22,8.57,[23.10238341 25.51696872  0.2838056  26.64430013 24.45254215],0.73
4466,5.6,6.02,[36.50834339 22.31579208  3.38422876  8.30458456 29.4870512 ],0.93
4467,6.24,8.96,[27.97663541 32.00396091  5.4128642  17.07986469 17.52667479],0.7
4468,7.25,12.88,[ 1.75540756 39.56135507 23.31319223  7.66643574 27.7036094 ],0.56
4469,7.04,11.79,[15.95943887  0.2006844  35.27172955 17.76773307 30.80041411],0.6
4470,6.21,8.49,[27.89512221 17.14921691  5.98651192 26.07199361 22.89715535],0.73
4471,6.79,11.09,[23.25503119 14.30997822 22.09248615 22.37560589 17.96689855],0.61
4472,6.58,10.2,[23.0564113  25.06287936 13.27585029 19.98338698 18.62147206],0.64
4473,7.47,14.35,[ 8.41838872 29.03307588 12.74426728 43.29664397  6.50762415],0.52
4474,8.0,16.8,[ 9.71217351 18.66063626 44.04804646 22.6181344   4.96100937],0.48
4475,5.75,6.67,[38.8766976  18.21600124  9.62000938  8.20150986 25.08578192],0.86
4476,6.59,9.94,[21.57629589 15.35143074 19.57299624 17.02033688 26.47894025],0.66
4477,7.27,13.61,[20.82595623 20.61959628 27.6962476  25.57894447  5.27925543],0.53
4478,6.18,7.95,[17.43549482 22.84057981  2.82860314 20.14828422 36.74703801],0.78
4479,6.26,8.37,[14.68561318 32.5821163  11.54364395  1.07925443 40.10937214],0.75
4480,6.07,8.45,[34.53788661 30.80407348  4.07031456 17.41720437 13.17052098],0.72
4481,7.02,12.64,[30.98632364  7.63702908 47.18253651  0.56461196 13.62949881],0.56
4482,6.87,12.02,[21.54419766 40.07792611 13.4784481  18.63639145  6.26303668],0.57
4483,7.71,15.37,[ 6.31595768 33.05005594 29.13158245 22.61394734  8.88845659],0.5
4484,6.67,10.25,[20.27388719 10.64818203 19.13296973 23.67566393 26.26929712],0.65
4485,6.89,11.79,[26.13863252 14.33074766 20.75206268 29.56019301  9.21836413],0.58
4486,6.75,10.63,[20.49540977  9.39102584 26.92283578 15.55620319 27.63452543],0.64
4487,7.04,12.46,[23.78245222 17.32139573 40.92359838  0.13633191 17.83622175],0.56
4488,6.33,9.3,[36.39407239  9.54725905 29.7848534   3.53564114 20.73817402],0.68
4489,7.28,12.88,[ 1.68523681 28.45793989 13.51325328 31.9523385  24.39123152],0.57
4490,7.48,15.06,[ 0.80680585 70.92468756  9.49293201 13.70937374  5.06620083],0.5
4491,6.83,11.06,[19.61925717 14.92973936 24.6485812  17.26135584 23.54106643],0.62
4492,7.51,14.33,[ 7.56522715 31.91088779 36.13773388  5.90585651 18.48029467],0.52
4493,7.12,12.16,[ 9.57659784 21.40135192 33.39572436  4.40727861 31.21904728],0.59
4494,6.46,9.66,[21.25234656 26.56229546  5.49539242 25.82254188 20.86742368],0.67
4495,7.15,12.31,[10.67672294 15.64203911 25.10484389 23.39944404 25.17695003],0.58
4496,7.44,14.19,[15.95888052 17.17418204 29.29418244 29.38308839  8.18966662],0.52
4497,7.33,13.13,[ 6.48316223 23.59745842 31.30041737 12.19747588 26.4214861 ],0.56
4498,6.03,6.67,[13.95054181  3.26504992 12.00128669 13.3114282  57.47169337],0.91
4499,7.74,15.26,[ 6.56635009 13.04167922 27.01894479 42.11675898 11.25626691],0.51
4500,7.22,12.53,[ 7.32082809 18.07730059 33.18551473  9.98806074 31.42829585],0.58
4501,6.5,9.86,[22.88155364 27.36887946 11.67192077 17.84218411 20.23546201],0.66
4502,6.8,11.08,[21.487689   13.23667683 17.77212924 29.36041729 18.14308763],0.61
4503,5.66,6.51,[45.45564929  6.69957465  1.55508956 29.36670918 16.92297732],0.87
4504,6.76,11.64,[30.76652858 29.61778049 22.64982402 13.0363863   3.9294806 ],0.58
4505,6.4,9.64,[30.90595924 17.81275345  9.02631931 29.56851201 12.686456  ],0.66
4506,7.2,12.59,[ 9.5232844  21.15166577 35.45595079  4.44768711 29.42141193],0.57
4507,6.77,11.17,[26.83655872 16.36521683 27.16352101 13.93900523 15.69569821],0.61
4508,7.17,13.1,[13.37642295 41.93509883 24.76008459  6.49724535 13.43114828],0.55
4509,6.59,10.11,[22.50664691 20.82928086 26.03559379  3.59301132 27.03546712],0.65
4510,6.14,8.04,[23.92404802 20.51359938  2.22365057 24.7318666  28.60683544],0.76
4511,6.74,11.08,[21.97633768 26.42979351 13.0742079  24.95519604 13.56446487],0.61
4512,5.28,4.55,[42.33738497  3.53485     8.4513819   5.44791701 40.22846611],1.16
4513,7.33,13.75,[ 7.24415779 46.30727396 24.05433972  7.25648957 15.13773897],0.53
4514,5.94,7.31,[30.72956037 15.83418273  2.02381857 24.83171195 26.58072639],0.81
4515,7.17,13.04,[20.86433026 21.21115728 27.16579    21.97520429  8.78351817],0.55
4516,6.54,9.84,[18.44265408 20.95895796  4.19193215 33.31161132 23.09484449],0.66
4517,7.11,12.23,[11.78800578 19.111044   20.78543257 26.51032627 21.80519138],0.58
4518,6.86,11.38,[19.57003393 23.94760554 25.76539006  9.95427377 20.7626967 ],0.6
4519,6.54,10.1,[26.02280141 18.7114091  10.60787843 29.06641542 15.59149563],0.65
4520,6.81,11.82,[29.98196737 28.32139736 23.56456843 14.00205879  4.13000804],0.58
4521,6.99,12.36,[27.75721998 13.6094386  29.53918093 21.10719435  7.98696614],0.57
4522,7.37,14.06,[17.20253677 29.41561743 28.6078137  19.12417177  5.64986033],0.52
4523,6.78,11.01,[22.82870708 14.78670207 22.01889429 21.50619898 18.85949758],0.62
4524,6.86,11.2,[21.19748264  5.31062191 24.71135703 26.44610873 22.3344297 ],0.61
4525,7.58,14.94,[ 9.3133765  27.84005379 15.37607682 44.63556731  2.83492559],0.51
4526,7.13,12.24,[12.02780756 13.45333575 26.83749482 22.35657198 25.32478989],0.58
4527,7.09,12.23,[ 7.95131019 34.01582875 19.50473528 14.72750178 23.80062399],0.58
4528,6.88,11.54,[19.95345166 22.52671031 20.20655426 20.82797612 16.48530765],0.6
4529,6.69,10.79,[26.70779068 15.62443109 17.29241401 26.8155091  13.55985511],0.62
4530,6.3,8.86,[26.7525462  22.91551361 20.30312817  2.17329371 27.85551831],0.71
4531,6.47,9.74,[23.37695681 27.8121233  14.38117216 12.66416125 21.76558647],0.67
4532,7.59,14.48,[ 8.19232283 15.03482757 30.35267204 30.52690041 15.89327716],0.52
4533,6.82,11.38,[22.44001478 24.01199983 18.74395985 20.89376754 13.910258  ],0.6
4534,7.02,12.61,[18.18818837 36.76258988 11.74020286 27.70402038  5.6049985 ],0.56
4535,6.82,11.85,[24.4083424  39.15564166 18.04856163 11.93104133  6.45641297],0.58
4536,7.92,16.63,[ 7.4593439  37.54504613 39.89810577 11.09018259  4.00732161],0.48
4537,6.08,7.67,[29.48803664  7.6418675  10.67521532 21.76856963 30.4263109 ],0.79
4538,7.48,14.15,[10.24986438 22.90654341 27.35723735 26.35365056 13.13270429],0.53
4539,7.03,13.01,[26.13653263 40.44781426 29.30008141  2.05358509  2.06198661],0.54
4540,7.73,15.27,[ 4.04582925 19.44978388 19.13980033 47.84830097  9.51628557],0.51
4541,6.55,10.06,[27.39010208 16.67727806 24.46049403 10.07292059 21.39920525],0.65
4542,7.09,12.02,[ 9.98414328 21.61947548 28.08300791 11.6041697  28.70920363],0.59
4543,7.01,11.58,[ 8.07076869 19.24338732 17.13696805 26.76173052 28.78714542],0.61
4544,7.21,13.29,[19.52974938 25.59098122 24.54437351 23.60384509  6.73105079],0.54
4545,6.75,10.39,[14.99869762 11.42996512 21.87724588 19.066166   32.62792538],0.65
4546,6.56,9.78,[18.65361746 20.07655087 13.15760015 20.94206622 27.1701653 ],0.67
4547,6.01,7.78,[28.19370295 26.99090208  1.59626909 18.5957106  24.62341529],0.77
4548,7.8,16.03,[12.90774432 24.20280487 40.6179086  18.28540772  3.9861345 ],0.49
